대분류,평균가격,연간총매출,월간평균조회수,연간평균판매수,조회수대비판매수,남성구매자비율평균,여성구매자비율평균
가방,39447.16981132075,"2,597,620,000",3263.2075471698113,284.0433962264151,0.03339115351257589,66.09433962264151,33.905660377358494
리빙,32852.380952380954,"911,490,000",2992.8571428571427,323.46,0.06377618668788121,70.19047619047619,29.80952380952381
모자,24842.30769230769,"315,975,000",2132.6923076923076,173.34878048780487,0.010707844905320108,74.8409090909091,25.15909090909091
바지,44138.47019122609,"90,178,785,000",4253.037120359955,264.0516317016316,0.02315500513539366,64.70023148148148,35.29976851851852
상의,33596.395348837206,"56,697,700,000",2453.6046511627906,243.36441281138792,0.040073140293508995,62.74204946996466,37.25795053003534
속옷,20671.653543307086,"11,291,100,000",7535.826771653543,236.1267716535433,0.05572679936610766,47.50406504065041,52.49593495934959
스니커즈,69900.0,"1,145,915,000",3584.6153846153848,205.28333333333333,0.02834406294706724,82.76923076923077,17.23076923076923
스커트,39768.42105263158,"1,291,595,000",3455.2631578947367,289.7527777777778,0.010488068037572988,8.04109589041096,91.95890410958904
스포츠/용품,16900.0,"294,890,000",2105.5555555555557,201.70000000000002,0.07519788918205804,76.55555555555556,23.444444444444443
신발,88310.2564102564,"2,359,275,000",6214.102564102564,333.30285714285714,0.009370057079980744,72.47222222222223,27.52777777777778
아우터,111706.03948896631,"50,081,190,000",8607.839721254355,221.02601226993866,0.005724328226301551,63.516129032258064,36.483870967741936
액세서리,31624.48979591837,"5,234,490,000",5309.183673469388,185.4867346938775,0.04141841245435325,70.84693877551021,29.153061224489797
양말/레그웨어,20989.10891089109,"8,645,860,000",3625.2475247524753,225.16262626262625,0.09306295234193636,53.744897959183675,46.255102040816325
여성 가방,75900.0,"22,770,000",2200.0,300.0,0.011363636363636364,11.0,89.0
원피스,31376.190476190477,"438,250,000",328.57142857142856,187.99,0.1630434782608696,23.1,76.9
