recom_id,product_id,category1,category2,gender,height,weight,keyword,size
1,MMCCT701-BK,아우터,겨울 싱글 코트,남자,182,81,적당함,M 
2,MMCCT701-BK,아우터,겨울 싱글 코트,남자,178,65,큼,XL 
3,MMCCT701-BK,아우터,겨울 싱글 코트,남자,180,80,적당함,L 
4,MMCCT701-BK,아우터,겨울 싱글 코트,남자,181,65,적당함,L 
5,MMCCT701-BK,아우터,겨울 싱글 코트,여자,170,70,큼,L 
6,MMCCT701-BK,아우터,겨울 싱글 코트,남자,180,72,적당함,L 
7,MMCCT701-BK,아우터,겨울 싱글 코트,남자,183,88,적당함,2XL 
8,MMCCT701-BK,아우터,겨울 싱글 코트,남자,181,62,큼,L 
9,MMCCT701-BK,아우터,겨울 싱글 코트,남자,188,75,적당함,L 
10,MMCCT701-BK,아우터,겨울 싱글 코트,남자,185,81,적당함,L 
11,MMCCT701-BK,아우터,겨울 싱글 코트,남자,178,72,큼,XL 
12,MMCCT701-BK,아우터,겨울 싱글 코트,남자,191,90,적당함,2XL 
13,MMCCT701-BK,아우터,겨울 싱글 코트,남자,190,125,큼,2XL 
14,MMCCT701-BK,아우터,겨울 싱글 코트,남자,170,53,큼,L 
15,MMCCT701-BK,아우터,겨울 싱글 코트,남자,185,73,적당함,L 
16,MMCCT701-BK,아우터,겨울 싱글 코트,남자,184,65,적당함,XL 
17,MMCCT701-BK,아우터,겨울 싱글 코트,남자,187,60,적당함,L 
18,MMCCT701-BK,아우터,겨울 싱글 코트,남자,183,68,큼,L 
19,MMCCT701-BK,아우터,겨울 싱글 코트,남자,172,55,적당함,M 
20,MMCCT701-BK,아우터,겨울 싱글 코트,남자,182,85,적당함,XL 
21,MMCCT701-BK,아우터,겨울 싱글 코트,남자,186,80,큼,2XL 
22,MMCCT701-BK,아우터,겨울 싱글 코트,남자,178,90,적당함,L 
23,MMCCT701-BK,아우터,겨울 싱글 코트,남자,180,84,적당함,L 
24,MMCCT701-BK,아우터,겨울 싱글 코트,남자,186,86,적당함,2XL 
25,MMCCT701-BK,아우터,겨울 싱글 코트,남자,183,90,적당함,XL 
26,MMCCT701-BK,아우터,겨울 싱글 코트,남자,183,90,큼,2XL 
27,MMCCT701-BK,아우터,겨울 싱글 코트,남자,173,76,큼,M 
28,MMCCT701-BK,아우터,겨울 싱글 코트,남자,189,80,큼,XL 
29,MMCCT701-BK,아우터,겨울 싱글 코트,남자,188,90,적당함,2XL 
30,MMCCT701-BK,아우터,겨울 싱글 코트,남자,186,76,큼,XL 
31,MMCCT701-BK,아우터,겨울 싱글 코트,남자,180,60,적당함,L 
32,MMCCT701-BK,아우터,겨울 싱글 코트,남자,185,86,큼,2XL 
33,MMCCT701-BK,아우터,겨울 싱글 코트,남자,190,85,적당함,2XL 
34,MMCCT701-BK,아우터,겨울 싱글 코트,남자,186,90,적당함,XL 
35,MMCCT701-BK,아우터,겨울 싱글 코트,남자,179,71,큼,L 
36,MMCCT701-BK,아우터,겨울 싱글 코트,남자,183,70,큼,XL 
37,MMCCT701-BK,아우터,겨울 싱글 코트,남자,190,80,적당함,2XL 
38,MMCCT701-BK,아우터,겨울 싱글 코트,남자,194,86,적당함,XL 
39,MMCCT701-BK,아우터,겨울 싱글 코트,남자,183,74,적당함,XL 
40,MMCCT701-BK,아우터,겨울 싱글 코트,남자,176,80,큼,2XL 
41,MMCCT701-BK,아우터,겨울 싱글 코트,남자,190,70,적당함,2XL 
42,MMCCT701-BK,아우터,겨울 싱글 코트,남자,181,96,적당함,XL 
43,MMCDJ703-DM,아우터,숏패딩/숏헤비 아우터,남자,175,66,적당함,M 
44,MMCDJ703-DM,아우터,숏패딩/숏헤비 아우터,남자,177,70,큼,2XL 
45,MMCDJ703-DM,아우터,숏패딩/숏헤비 아우터,남자,168,55,적당함,M 
46,MMCDJ703-DM,아우터,숏패딩/숏헤비 아우터,남자,181,73,큼,2XL 
47,MMCDJ703-DM,아우터,숏패딩/숏헤비 아우터,여자,160,59,적당함,L 
48,MMCDJ703-DM,아우터,숏패딩/숏헤비 아우터,남자,172,61,적당함,L 
49,MMCDJ703-DM,아우터,숏패딩/숏헤비 아우터,남자,177,70,적당함,XL 
50,MMCDJ703-DM,아우터,숏패딩/숏헤비 아우터,남자,180,88,적당함,2XL 
51,MMCDJ703-BK,아우터,숏패딩/숏헤비 아우터,남자,180,65,적당함,L 
52,MMCDJ703-BK,아우터,숏패딩/숏헤비 아우터,남자,178,85,큼,XL 
53,MMCDJ703-BK,아우터,숏패딩/숏헤비 아우터,남자,175,72,적당함,L 
54,MMCDJ703-BK,아우터,숏패딩/숏헤비 아우터,남자,181,80,적당함,2XL 
55,MMCDJ703-BK,아우터,숏패딩/숏헤비 아우터,남자,172,70,적당함,L 
56,MMCDJ703-BK,아우터,숏패딩/숏헤비 아우터,남자,175,69,적당함,L 
57,MMCDJ703-BK,아우터,숏패딩/숏헤비 아우터,남자,174,73,적당함,L 
58,MMCDJ703-BK,아우터,숏패딩/숏헤비 아우터,남자,172,67,큼,L 
59,MMCDJ703-BK,아우터,숏패딩/숏헤비 아우터,남자,168,64,적당함,M 
60,MMCDJ703-BK,아우터,숏패딩/숏헤비 아우터,남자,175,80,적당함,XL 
61,MMCNP803-MI,바지,데님 팬츠,남자,178,68,적당함,32 
62,MMCNP803-MI,바지,데님 팬츠,남자,178,74,적당함,33 
63,MMCNP803-MI,바지,데님 팬츠,남자,178,70,적당함,34 
64,MMCNP803-MI,바지,데님 팬츠,남자,177,74,적당함,32 
65,MMCNP803-MI,바지,데님 팬츠,남자,179,67,적당함,32 
66,MMCNP803-MI,바지,데님 팬츠,남자,168,58,적당함,28 
67,MMCNP803-MI,바지,데님 팬츠,남자,169,75,적당함,32 
68,MMCNP803-MI,바지,데님 팬츠,남자,185,98,적당함,38 
69,MMCNP803-MI,바지,데님 팬츠,남자,185,71,적당함,32 
70,MMCNP803-MI,바지,데님 팬츠,남자,178,67,적당함,30 
71,MMCNP803-MI,바지,데님 팬츠,남자,172,67,적당함,32 
72,MMCNP803-MI,바지,데님 팬츠,남자,175,79,적당함,33 
73,MMCNP803-MI,바지,데님 팬츠,남자,172,68,적당함,32 
74,MMCNP803-MI,바지,데님 팬츠,남자,172,82,적당함,32 
75,MMCNP803-MI,바지,데님 팬츠,남자,172,82,적당함,32 
76,MMCNP803-MI,바지,데님 팬츠,남자,178,70,적당함,30 
77,MMCNP803-MI,바지,데님 팬츠,남자,181,82,적당함,34 
78,MMCNP803-MI,바지,데님 팬츠,남자,180,80,적당함,33 
79,MMCNP803-MI,바지,데님 팬츠,남자,173,65,적당함,30 
80,MMCNP803-MI,바지,데님 팬츠,남자,177,65,적당함,30 
81,MMCNP803-MI,바지,데님 팬츠,남자,174,65,적당함,29 
82,MMCNP803-MI,바지,데님 팬츠,남자,180,67,적당함,30 
83,MMCNP803-MI,바지,데님 팬츠,남자,178,74,적당함,32 
84,MMCNP803-DI,바지,데님 팬츠,남자,178,59,적당함,29 
85,MMCNP803-DI,바지,데님 팬츠,남자,168,68,적당함,30 
86,MMCNP803-DI,바지,데님 팬츠,남자,170,62,적당함,29 
87,MMCNP803-DI,바지,데님 팬츠,남자,173,69,적당함,31 
88,MMCNP803-DI,바지,데님 팬츠,남자,184,72,적당함,32 
89,MMCNP803-DI,바지,데님 팬츠,남자,180,68,적당함,32 
90,MMCNP803-DI,바지,데님 팬츠,남자,173,70,작음,31 
91,MMCNP803-DI,바지,데님 팬츠,남자,173,73,적당함,34 
92,MMCNP803-DI,바지,데님 팬츠,남자,170,67,적당함,29 
93,MMCNP803-DI,바지,데님 팬츠,남자,178,76,작음,32 
94,MMCNP803-DI,바지,데님 팬츠,남자,170,70,적당함,31 
95,MMCNP803-DI,바지,데님 팬츠,남자,180,74,적당함,32 
96,MMCNP803-DI,바지,데님 팬츠,여자,168,72,작음,32 
97,MMCNP803-DI,바지,데님 팬츠,남자,165,52,적당함,28 
98,MMCNP803-DI,바지,데님 팬츠,여자,174,68,적당함,31 
99,MMCNP803-DI,바지,데님 팬츠,남자,185,70,적당함,32 
100,MMCNP803-DI,바지,데님 팬츠,남자,181,75,적당함,32 
101,MMCNP803-DI,바지,데님 팬츠,남자,175,82,적당함,34 
102,MMCNP803-DI,바지,데님 팬츠,남자,174,74,큼,31 
103,MMCNP803-DI,바지,데님 팬츠,여자,162,56,적당함,26 
104,MMCNP803-BK,바지,데님 팬츠,남자,169,63,적당함,31 
105,MMCNP803-BK,바지,데님 팬츠,여자,172,60,적당함,30 
106,MMCNP803-BK,바지,데님 팬츠,남자,176,54,적당함,28 
107,MMCNP803-BK,바지,데님 팬츠,남자,172,69,적당함,32 
108,MMCNP803-BK,바지,데님 팬츠,남자,181,78,적당함,32 
109,MMCNP803-BK,바지,데님 팬츠,남자,175,60,적당함,31 
110,MMCNP803-BK,바지,데님 팬츠,남자,177,65,적당함,30 
111,MMCNP803-BK,바지,데님 팬츠,남자,175,86,적당함,33 
112,MMCNP803-BK,바지,데님 팬츠,남자,182,100,적당함,36 
113,MMCNP803-BK,바지,데님 팬츠,남자,178,82,큼,36 
114,MMCNP803-BK,바지,데님 팬츠,남자,167,66,작음,27 
115,MMCNP803-BK,바지,데님 팬츠,남자,187,82,작음,33 
116,MMCNP803-BK,바지,데님 팬츠,남자,170,73,작음,31 
117,MMCNP803-BK,바지,데님 팬츠,남자,174,68,적당함,32 
118,MMCNP803-BK,바지,데님 팬츠,남자,177,68,적당함,30 
119,MMCNP803-BK,바지,데님 팬츠,남자,184,92,적당함,36 
120,MMCNP803-WC,바지,데님 팬츠,남자,169,69,적당함,32 
121,MMCNP803-WC,바지,데님 팬츠,남자,173,79,적당함,33 
122,MMCNP803-WC,바지,데님 팬츠,남자,175,78,큼,34 
